Prompt,Response
"Uh oh, there's an accident on David Tunnel Road, by Marina Bay Sands near lamp post #319. There's oil spilled all over. , involving a motorcycle. .","Location of the incident: David Tunnel Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 319
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Whitaker Forges Road, near Changi Airport near lamp post #241. There's oil spilled all over. , involving a bus, a pedestrian. .","Location of the incident: Whitaker Forges Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 241
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bus, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Hudson Isle Road, by Marina Bay Sands near lamp post #547. There's a huge fire breakout. nobody seems hurt, involving a motorcycle. .","Location of the incident: Hudson Isle Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 547
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Attention, incident occurred at Long Highway Road, around Sentosa near lamp post #370. There's a tree blocking the road. a few injuries spotted, involving a bicycle, a motorcycle, a car. Observers are calling for help.","Location of the incident: Long Highway Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 370
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle, a motorcycle, a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Jordan Via Road, close to Gardens by the Bay near lamp post #623. There's a huge fire breakout. a few injuries spotted, involving a bicycle, a motorcycle, a pedestrian. People helping out.","Location of the incident: Jordan Via Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 623
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle, a motorcycle, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Watch out, crash on Stacy Track Road, near Changi Airport near lamp post #779. There's oil spilled all over. , involving a pedestrian. Observers are calling for help.","Location of the incident: Stacy Track Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 779
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Wong Court Road, close to Gardens by the Bay near lamp post #1. There's a huge fire breakout. , involving a car, a pedestrian, a bus. People helping out.","Location of the incident: Wong Court Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 1
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a car, a pedestrian, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Emergency reported on Christie Loaf Road, near lamp post #665. There's a tree blocking the road. a few injuries spotted, involving a bicycle, a bus. Bystanders are unsure what to do.","Location of the incident: Christie Loaf Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 665
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle, a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Just saw something happen on Elizabeth Mountain Road, by Marina Bay Sands near lamp post #9. There's . , involving a bicycle, a bus, a pedestrian. .","Location of the incident: Elizabeth Mountain Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 9
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a bus, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Attention, incident occurred at Williams Stream Road, around Sentosa near lamp post #799. There's debris scattered around. nobody seems hurt, involving a car, a bicycle. Bystanders are unsure what to do.","Location of the incident: Williams Stream Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 799
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Mark Parkway Road, near Changi Airport near lamp post #574. There's a huge fire breakout. , involving a pedestrian, a motorcycle, a bicycle. .","Location of the incident: Mark Parkway Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 574
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian, a motorcycle, a bicycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Brittany Villages Road, close to Gardens by the Bay near lamp post #74. There's . someone appears seriously injured, involving a pedestrian, a motorcycle. Bystanders are unsure what to do.","Location of the incident: Brittany Villages Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 74
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a pedestrian, a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Just saw something happen on Bailey Flat Road, near lamp post #609. There's debris scattered around. , involving a car, a pedestrian, a bus. Observers are calling for help.","Location of the incident: Bailey Flat Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 609
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a pedestrian, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Ashley Summit Road, by Marina Bay Sands near lamp post #689. There's oil spilled all over. nobody seems hurt, involving a car. .","Location of the incident: Ashley Summit Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 689
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Alejandro Creek Road, around Sentosa near lamp post #424. There's oil spilled all over. nobody seems hurt, involving a bicycle, a bus. Observers are calling for help.","Location of the incident: Alejandro Creek Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 424
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bicycle, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"This just in, accident at Williams Club Road, around Sentosa near lamp post #805. There's . a few injuries spotted, involving a motorcycle, a car. Bystanders are unsure what to do.","Location of the incident: Williams Club Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 805
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle, a car
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Michael Lodge Road, around Sentosa near lamp post #709. There's debris scattered around. someone appears seriously injured, involving a car, a bicycle. .","Location of the incident: Michael Lodge Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 709
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a bicycle
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"This just in, accident at Marsh Ferry Road, around Sentosa near lamp post #677. There's a tree blocking the road. someone appears seriously injured, involving a bus, a car. Observers are calling for help.","Location of the incident: Marsh Ferry Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 677
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bus, a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Emergency reported on Walker Drives Road, by Marina Bay Sands near lamp post #484. There's oil spilled all over. , involving a car, a pedestrian, a motorcycle. Bystanders are unsure what to do.","Location of the incident: Walker Drives Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 484
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a pedestrian, a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Amanda Hill Road, near lamp post #577. There's oil spilled all over. someone appears seriously injured, involving a bus, a bicycle, a motorcycle. Observers are calling for help.","Location of the incident: Amanda Hill Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 577
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bus, a bicycle, a motorcycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Just saw something happen on Lance Loop Road, around Sentosa near lamp post #168. There's oil spilled all over. a few injuries spotted, involving a motorcycle. Bystanders are unsure what to do.","Location of the incident: Lance Loop Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 168
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Emergency reported on Bell Center Road, around Sentosa near lamp post #285. There's debris scattered around. nobody seems hurt, involving a bus. Bystanders are unsure what to do.","Location of the incident: Bell Center Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 285
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Martin Overpass Road, near Changi Airport near lamp post #555. There's a huge fire breakout. , involving a pedestrian. Bystanders are unsure what to do.","Location of the incident: Martin Overpass Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 555
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Just saw something happen on Wall Shore Road, around Sentosa near lamp post #72. There's debris scattered around. nobody seems hurt, involving a bicycle, a pedestrian, a bus. People helping out.","Location of the incident: Wall Shore Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 72
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bicycle, a pedestrian, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Sims Branch Road, by Marina Bay Sands near lamp post #952. There's debris scattered around. a few injuries spotted, involving a bus. .","Location of the incident: Sims Branch Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 952
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Morrison Causeway Road, near lamp post #990. There's . someone appears seriously injured, involving a bicycle, a car, a bus. People helping out.","Location of the incident: Morrison Causeway Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 990
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a car, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"This just in, accident at Molly Union Road, near lamp post #998. There's a tree blocking the road. a few injuries spotted, involving a car. Observers are calling for help.","Location of the incident: Molly Union Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 998
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Just saw something happen on Charles Isle Road, near lamp post #157. There's . , involving a bus, a motorcycle, a bicycle. People helping out.","Location of the incident: Charles Isle Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 157
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus, a motorcycle, a bicycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Teresa Stream Road, near lamp post #359. There's a huge fire breakout. someone appears seriously injured, involving a pedestrian, a car. People helping out.","Location of the incident: Teresa Stream Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 359
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian, a car
Actions taken by bystanders: People helping out
State of casualties involved in the accident: injured"
"Watch out, crash on Heidi Circle Road, around Sentosa near lamp post #152. There's oil spilled all over. someone appears seriously injured, involving a car, a motorcycle. Observers are calling for help.","Location of the incident: Heidi Circle Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 152
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a motorcycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Watch out, crash on April Valleys Road, by Marina Bay Sands near lamp post #26. There's . nobody seems hurt, involving a bicycle, a car, a bus. People helping out.","Location of the incident: April Valleys Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 26
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a car, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Watch out, crash on Patrick Field Road, close to Gardens by the Bay near lamp post #996. There's a tree blocking the road. nobody seems hurt, involving a pedestrian, a motorcycle. People helping out.","Location of the incident: Patrick Field Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 996
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a pedestrian, a motorcycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Emergency reported on Cameron Roads Road, near lamp post #465. There's . , involving a motorcycle, a car, a bus. Bystanders are unsure what to do.","Location of the incident: Cameron Roads Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 465
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle, a car, a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Hayes Spur Road, near Changi Airport near lamp post #496. There's debris scattered around. , involving a car, a bus. Observers are calling for help.","Location of the incident: Hayes Spur Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 496
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Vance Estate Road, around Sentosa near lamp post #63. There's oil spilled all over. , involving a bicycle. Bystanders are unsure what to do.","Location of the incident: Vance Estate Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 63
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Emergency reported on April Highway Road, near Changi Airport near lamp post #533. There's . a few injuries spotted, involving a pedestrian, a bus. Observers are calling for help.","Location of the incident: April Highway Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 533
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a pedestrian, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Cassandra Branch Road, near Changi Airport near lamp post #933. There's a huge fire breakout. someone appears seriously injured, involving a motorcycle. Bystanders are unsure what to do.","Location of the incident: Cassandra Branch Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 933
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Watch out, crash on Davis Overpass Road, close to Gardens by the Bay near lamp post #894. There's . someone appears seriously injured, involving a bus, a car, a bicycle. Bystanders are unsure what to do.","Location of the incident: Davis Overpass Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 894
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus, a car, a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"Uh oh, there's an accident on Castro Bypass Road, close to Gardens by the Bay near lamp post #31. There's a huge fire breakout. a few injuries spotted, involving a pedestrian. Bystanders are unsure what to do.","Location of the incident: Castro Bypass Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 31
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"This just in, accident at Jose Canyon Road, by Marina Bay Sands near lamp post #623. There's a tree blocking the road. nobody seems hurt, involving a bicycle, a bus, a pedestrian. Observers are calling for help.","Location of the incident: Jose Canyon Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 623
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle, a bus, a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Hamilton Viaduct Road, by Marina Bay Sands near lamp post #295. There's oil spilled all over. someone appears seriously injured, involving a car, a bicycle, a motorcycle. .","Location of the incident: Hamilton Viaduct Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 295
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a bicycle, a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Watch out, crash on Sanchez Ports Road, near lamp post #672. There's . a few injuries spotted, involving a pedestrian, a car. People helping out.","Location of the incident: Sanchez Ports Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 672
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a pedestrian, a car
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Aaron Flats Road, near lamp post #323. There's a huge fire breakout. nobody seems hurt, involving a car, a bus, a motorcycle. Bystanders are unsure what to do.","Location of the incident: Aaron Flats Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 323
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a car, a bus, a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"This just in, accident at Kristy Fall Road, near Changi Airport near lamp post #106. There's a tree blocking the road. a few injuries spotted, involving a bus. Bystanders are unsure what to do.","Location of the incident: Kristy Fall Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 106
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Just saw something happen on Potter Manors Road, near lamp post #640. There's . , involving a motorcycle, a pedestrian. .","Location of the incident: Potter Manors Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 640
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Hardy Stravenue Road, near lamp post #75. There's a tree blocking the road. nobody seems hurt, involving a pedestrian. People helping out.","Location of the incident: Hardy Stravenue Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 75
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Danny Canyon Road, near lamp post #727. There's . someone appears seriously injured, involving a bus. Observers are calling for help.","Location of the incident: Danny Canyon Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 727
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Watch out, crash on Barnes Ferry Road, around Sentosa near lamp post #806. There's oil spilled all over. , involving a motorcycle, a bus, a pedestrian. Observers are calling for help.","Location of the incident: Barnes Ferry Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 806
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a motorcycle, a bus, a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Nelson Harbor Road, near Changi Airport near lamp post #204. There's a huge fire breakout. a few injuries spotted, involving a motorcycle, a pedestrian. People helping out.","Location of the incident: Nelson Harbor Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 204
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a motorcycle, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Emergency reported on Amanda Lodge Road, around Sentosa near lamp post #857. There's a tree blocking the road. , involving a pedestrian, a car, a bus. Observers are calling for help.","Location of the incident: Amanda Lodge Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 857
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a pedestrian, a car, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Just saw something happen on Ashley Mills Road, around Sentosa near lamp post #24. There's a huge fire breakout. nobody seems hurt, involving a bicycle. Bystanders are unsure what to do.","Location of the incident: Ashley Mills Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 24
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"This just in, accident at Friedman Fords Road, near Changi Airport near lamp post #765. There's debris scattered around. nobody seems hurt, involving a car. People helping out.","Location of the incident: Friedman Fords Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 765
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Watch out, crash on Johnson Vista Road, close to Gardens by the Bay near lamp post #825. There's oil spilled all over. nobody seems hurt, involving a bicycle, a motorcycle. Bystanders are unsure what to do.","Location of the incident: Johnson Vista Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 825
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bicycle, a motorcycle
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Lopez Ridges Road, near Changi Airport near lamp post #596. There's . , involving a pedestrian. People helping out.","Location of the incident: Lopez Ridges Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 596
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Becky Flats Road, by Marina Bay Sands near lamp post #435. There's debris scattered around. , involving a pedestrian, a motorcycle, a bus. .","Location of the incident: Becky Flats Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 435
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a motorcycle, a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Emergency reported on Rachel Parkways Road, close to Gardens by the Bay near lamp post #399. There's oil spilled all over. a few injuries spotted, involving a car, a pedestrian. People helping out.","Location of the incident: Rachel Parkways Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 399
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a pedestrian
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Watch out, crash on Lisa Course Road, near Changi Airport near lamp post #583. There's a huge fire breakout. , involving a bus, a motorcycle. Observers are calling for help.","Location of the incident: Lisa Course Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 583
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus, a motorcycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"This just in, accident at Megan Roads Road, around Sentosa near lamp post #315. There's a huge fire breakout. a few injuries spotted, involving a motorcycle, a car. Observers are calling for help.","Location of the incident: Megan Roads Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 315
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a motorcycle, a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on Erika Streets Road, by Marina Bay Sands near lamp post #914. There's debris scattered around. nobody seems hurt, involving a car. Observers are calling for help.","Location of the incident: Erika Streets Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 914
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a car
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Watch out, crash on Horn Coves Road, by Marina Bay Sands near lamp post #302. There's oil spilled all over. someone appears seriously injured, involving a pedestrian, a bus. .","Location of the incident: Horn Coves Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 302
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian, a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Emergency reported on Gonzalez Stream Road, near lamp post #548. There's . a few injuries spotted, involving a pedestrian, a bus. People helping out.","Location of the incident: Gonzalez Stream Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 548
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a pedestrian, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Attention, incident occurred at Ruben Valley Road, near Changi Airport near lamp post #299. There's debris scattered around. a few injuries spotted, involving a pedestrian. Observers are calling for help.","Location of the incident: Ruben Valley Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 299
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Emergency reported on William Meadow Road, around Sentosa near lamp post #950. There's . nobody seems hurt, involving a bicycle, a motorcycle, a bus. Observers are calling for help.","Location of the incident: William Meadow Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 950
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a motorcycle, a bus
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
